virgin-america,Booking Problems,I was booked on another flight and not compensated for anything.
virgin-america,Booking Problems,Main Cabin select seemed worth the money at the time of booking (and the people in our original seats looked comfy).
virgin-america,Booking Problems,Flight attendants were friendly and helpful despite grumbling from some passengers on the fully booked flights.
virgin-america,Booking Problems,For best fares book early.
virgin-america,Booking Problems,Hawaiian Air booked our flight since they don't fly to Philadelphia they did the leg LAX- PHL on Virgin America.
virgin-america,Booking Problems,Additional costs you don't think of when booking your flight added $90 more dollars to my trip: Check baggage meal and a movie.
virgin-america,Booking Problems,I will be booking on Virgin American for all possible future flights.
virgin-america,Booking Problems,In SFO we booked baggage through Las Vegas on to Virgin Atlantic.
virgin-america,Booking Problems,We booked 2 premium economy bulkhead seats (Virgin America markets its exit row and bulkhead economy seats as premium economy).
virgin-america,Booking Problems,Allowed two checked bags as it was booked on the same ticket as my international flight on V Australia.
virgin-america,Food,Snacks were of good quality and the meal I ordered was tasty but not excessively heavy.
virgin-america,Food,All food and snacks cost money.
virgin-america,Food,Flying in MCS gets you complimentary meals and non-alcoholic drinks and the meals offered are miles ahead of what any other U.S. carrier would offer.
virgin-america,Food,Yes there is no free snacks but I brought food with me and ordered free drinks from the TV menu.
virgin-america,Food,Possibly the worst cabin attendants I have ever experienced no communication skills almost threw the food at us were of no other assistance (even though we were in cabin select).
virgin-america,Food,The ability to open a tab for meals snacks and entertainment selections make Virgin in a century beyond their domestic competitors.
virgin-america,Food,The food was good, although the salad (while good) was a bit small portion-wise.
virgin-america,Food,Although dessert was included as part of the meal service none was provided.
virgin-america,Food,Moreover I was greatly disappointed by the lack of hot meals sold on board where small cold sandwiches and junk food consisting of crackers chips and cookies dominate the in flight menu.
virgin-america,Food,Additional costs you don't think of when booking your flight added $90 more dollars to my trip: Check baggage meal and a movie.
virgin-america,Cancelled Flight,They canceled my return flight from Canada and then acted as if they were doing me a monumental favor by not charging me to change my flight to one that was not canceled.
virgin-america,Cancelled Flight,I was sending 3 people out to Los Angeles for a job and the flight from JFK was cancelled with no reason given.
virgin-america,Cancelled Flight,In the end I was booked on a different flight than my boyfriend and had to cancel the trip after being told they couldn't do anything about the different flights!
virgin-america,Cancelled Flight,The flight was cancelled after 4 hours.
virgin-america,Cancelled Flight,I was told no refund but they would agree to waive the $100 cancellation fee.
virgin-america,Cancelled Flight,it was a 7am flight and no other flights that day were cancelled.
virgin-america,Cancelled Flight,Onboard they offered noise cancelling headphones.
virgin-america,Cancelled Flight,Trip from IAD to SFO was canceled resulting in missing all connecting flights with a partner airline.
virgin-america,Cancelled Flight,Not one person at JFK knew how to handle a cancelled flight!
virgin-america,Cancelled Flight,A canceled flight is bad enough; incompetent handling afterwards is worse.
virgin-america,General,The flight was very affordable and was on time.
virgin-america,General,First time with this airline, one way from LAX to ORD in First Class.
virgin-america,General,First time with this airline, one way from LAX to ORD in First Class.
virgin-america,General,First time with this airline, one way from LAX to ORD in First Class.
virgin-america,General,First time with this airline, one way from LAX to ORD in First Class.
virgin-america,General,First time with this airline, one way from LAX to ORD in First Class.
virgin-america,General,First time with this airline, one way from LAX to ORD in First Class.
virgin-america,General,First time with this airline, one way from LAX to ORD in First Class.
virgin-america,General,The flight was very affordable and was on time.
virgin-america,General,First time with this airline, one way from LAX to ORD in First Class.
united-airlines,Booking Problems,(Part of a ‘P’fare booking EDI/EWR/PBI and return).
united-airlines,Booking Problems,My party and I anxiously wondered if we were going to make our connecting flight or if we needed to rebook online.
united-airlines,Booking Problems,My family was booked with Delta.
united-airlines,Booking Problems,United informed me that all the hotels were booked up.
united-airlines,Booking Problems,Yes, gave us a room, and a whopping $14.00 for food and booked us on a flight to get us to Detroit 24 hrs later.
united-airlines,Booking Problems,We were not rebooked to another flight.
united-airlines,Booking Problems,I was one of them as the 30 minute flight I needed to take was booked for 24 hours later with $7 per person meal credit for the entire 24 hours.
united-airlines,Booking Problems,The pocket in fron of the seat was very low on the seat in front so that when I put my book in the pocket it bulged out so much that I had to keep my knees apart.
united-airlines,Booking Problems,As a 1K I enjoy personalized attention with UA such as automatic rebooking on cancelled flights or missed connections.
united-airlines,Booking Problems,I got re- booked on the flight for the next day at the same time was given a night at hotel and $14 voucher for the meal for the whole day.
united-airlines,Food,So let me see, they could have waited 5-10 minutes for us to make our scheduled flight, or not wait and pay hotel and food for two people.
united-airlines,Food,I found all the staff I interacted with friendly and professional, the aircraft was clean, the food was fine but not enough.
united-airlines,Food,On my e-confirmation it clearly states “meal”.
united-airlines,Food,Beverage and meal service were quick.
united-airlines,Food,For a five hour Pacific crossing all we got was one drink service and food purchase which is unacceptable.
united-airlines,Food,Although it was a short flight, there was no meal offered, other than a quick snack.
united-airlines,Food,It's bad enough that the airline doesn't serve any food at no charge anymore but to top it off their in-flight service has got much worse.
united-airlines,Food,I went immediately to the service counter to have it sorted out and they had already switched us to a Delta flight transferred our bags and arranged meal vouchers for us.
united-airlines,Food,There was no food service on the Sacramento to Washington flight which is inexcusable on that long of a flight.
united-airlines,Food,The plane we were on from London to NYC was just about clean enough my gluten free meal was gone because it's United (My flight had been cancelled and my meal with it) and the entertainment system was down because it's United.
united-airlines,Delayed Flight,Our little one got sick on the flight and there were no bags, it looked like the plane had not even been properly cleaned before our delayed flight.
united-airlines,Delayed Flight,I last flew w/them 7 years ago and was so upset at the lack of organization, delayed flights, small and uncomfortable seats and poor service by the staff.
united-airlines,Delayed Flight,In fact 2 of the delayed flights were more than 2 hours delayed.
united-airlines,Delayed Flight,They have consistently delayed flights to/from MRY because they cannot find a plane.
united-airlines,Delayed Flight,The question of whether I was in for an adventure aka a delayed flight to a completely different location was condescending.
united-airlines,Delayed Flight,After waiting almost 4 hours at the airport with a toddler because of a delayed flight that's not how to really brighten someone's day and treat them.
united-airlines,Delayed Flight,I told the agent that it wasn't weather that it was an excessively delayed flight that caused me to miss my connecting flights.
united-airlines,Delayed Flight,I got caught in FRA with the merger mess on "the" day and since then it has been a series of canceled and long delayed flights with missed connections and very old and ragged aircraft.
united-airlines,Delayed Flight,Lost bags delayed flights lack of communication wrong allocation of seats (such as row 50 in an airline that only has 46 rows) and rude staff have made my collective experience with United Airlines a negative one.
united-airlines,Cancelled Flight,They actually scanned our boarding passes in and had us lined up ready to get on the plane just to have us turn around and go back inside to later find out our flight would be cancelled.
united-airlines,Cancelled Flight,Also, their system has some sort of glitch today so apparently that means that had to cancel a ton of flights and delay many others.
united-airlines,Cancelled Flight,A stewardess came on the intercom and told us that they knew 2 hours before boarding that the crew was going to time out but management wouldn't allow them to cancel the flight until after everyone boarded!
united-airlines,Cancelled Flight,To begin, my flight from Denver to Bend on Friday night was cancelled last minute due to no availability of pilots.
united-airlines,Cancelled Flight,The first time I flew United I ended up sleeping in the airport when my flight was cancelled.
united-airlines,Cancelled Flight,Every flight I was booked on today was late or canceled.
united-airlines,Cancelled Flight,I arrived at the new gate stood in line for 15 minutes to find out that all those flights were canceled.
united-airlines,Cancelled Flight,What I've learned - you pay double the price for United as opposed to other airlines for delays and cancellations due to "flight crew availability".
united-airlines,Cancelled Flight,One of these flights was cancelled and United made no effort helping us to get another flight, so we had to book an additional flight on Southwest, causing us to lose a day of our vacation.
united-airlines,Cancelled Flight,As it was only 4 hours by bus from Chicago to Detroit, I decided to take mega-bus rather than to fly, and thank goodness I did that, because the rebooked flight on the next day was again cancelled due to air control issues!
united-airlines,General,What kind of business sense is that?
united-airlines,General,This trip we missed our connecting flight because we sat on the tarmack in Boston for an hour because they were having delays in loading luggage.
united-airlines,General,Every time I fly United something happens to derail my trip or make my trip miserable.
united-airlines,General,I have never had a good flight ok United or Air Canada.
united-airlines,General,Furthermore, all passengers paid for the flight from Dulles to Kuwait, boarded the flight from Dulles to Kuwait, and apparently since United diverted to Istanbul, zero miles for the Dulles to Kuwait leg will be applied to passengers’ account as credit toward their annual status - seems unfair if United accepted the payment for the flight and we all boarded the flight.
united-airlines,General,I swore I'd never fly United a couple of years ago this time I didn't notice the flight was operated by United.
united-airlines,General,Cancelled because it's United and we were placed on a flight to NYC in an effort to get us to a flight that connected to Texas which we missed so then they put us on a flight to Chicago so that they wouldn't have to pay for a Hotel etc ad nauseam.
united-airlines,General,What kind of business sense is that?
united-airlines,General,What kind of business sense is that?
united-airlines,General,What kind of business sense is that?
united-airlines,Lost Luggage,The next day we had to go in search of our own luggage at the "lost luggage" distribution center.
united-airlines,Lost Luggage,I would also add that as a United flyer since 1995 my baggage has never been lost!
united-airlines,Lost Luggage,All baggage looked after nothing lost or delayed.
united-airlines,Lost Luggage,Not allowed to mention lost luggage.
united-airlines,Lost Luggage,The 2 lost luggage bags that arrived 24 hours after we arrived in Punta Cana the week before seemed almost trivial in comparison.
united-airlines,Lost Luggage,After waiting at the baggage carousel for 30 plus minutes all 3 lost baggage claim stations at DIA were unattended on a Sunday afternoon for over 30 minutes.
united-airlines,Lost Luggage,The last 6 United flights in the past year that I and my family have taken have all resulted in some form of delays lost luggage or rude staff.
southwest-airlines,Booking Problems,Then a option to book a flight to BWI was available, arriving at 2.00 am.
southwest-airlines,Booking Problems,I booked a trip to fly from Houston to Lubbock with a stop in Austin.
southwest-airlines,Booking Problems,The return flight home was overbooked and at 100%.
southwest-airlines,Booking Problems,BWI to Islip my normal way to get there on Southwest is professional clean easy to book and I get an overall confident feeling that they all know what they are doing.
southwest-airlines,Booking Problems,Add at least 2 hours to any trip you book with southwest.
southwest-airlines,Booking Problems,From booking each flight to checking in and arrival they run rings around most other airlines in the USA and the EEC.
southwest-airlines,Booking Problems,You may be waiting all day or even until the next day for another Southwest flight that isn't booked and is flying where you are going.
southwest-airlines,Booking Problems,So now SWA will oversell the flight and reebook passengers if everyone shows up for the flight.
southwest-airlines,Booking Problems,Travelled SW for the first time because my son gave me and my husband SW giftcards so we booked a trip to Vegas.
southwest-airlines,Booking Problems,Every time we've used another airline (because someone else was booking the flights or Southwest flights for the times we needed were full) we've regretted it.
southwest-airlines,Food,A meal for the 3.5 hour flight would have been more substantial.
southwest-airlines,Food,Of course food and beverages you pay for but have no issue with that.
southwest-airlines,Food,I would advise that you fill up on food before you fly as there is no meal service just peanuts pretzels and mini Ritz sandwich crackers.
southwest-airlines,Food,There was more than enough time to quickly grab food at the fast food venues next door.
southwest-airlines,Food,We were then told at the MDW Southwest desk that there was no flight to Philadelphia for another 3 days but that Southwest was not offering us any overnight lodging or meal vouchers.
southwest-airlines,Food,BUF and MDW do not have the best options for food but you can always find something ok. Don't count on much for breakfast at MSP if flying out early.
southwest-airlines,Food,We were stuck on the plane from 9am - 7pm PST with no food.
southwest-airlines,Food,They never gave us meal vouchers or paid for a hotel.
southwest-airlines,Food,Just remember to buy a meal before you get on a long flight and if you don't mind a long flight on a small plane then Southwest is the way to go.
southwest-airlines,Food,When we exited the plane only one staff member was anywhere near the door but she was not greeting passengers she was cleaning up the food area.
southwest-airlines,Cancelled Flight,Southwest avoids punishing customers with extra fees such as change cancellation or bag check fees where possible.
southwest-airlines,Cancelled Flight,Upon trying to return home from Las Vegas my flight was canceled because of equipment problems.
southwest-airlines,Cancelled Flight,The 7am flight from LAX to SFO was cancelled for maintenance issues.
southwest-airlines,Cancelled Flight,We had an issue with our tickets and time our flight was to leave Indy Southwest had cancelled our original flight but had not notified us that our flight was leaving at 6.45 vs 8.10 therefore we missed our flight.
southwest-airlines,Cancelled Flight,It wasn't until Chicago that they told us that our leg to San Francisco was canceled and the plane was now traveling to Los Angeles.
southwest-airlines,Cancelled Flight,They also don't charge to change or cancel flights.
southwest-airlines,Cancelled Flight,We were told at the airport that we had been notified at 11.45 that our flight was cancelled.
southwest-airlines,Cancelled Flight,The notification about cancelled flight came in too late that could offer only flight to East coast to Dulles in Washington DC and that's your problem how you get to your destination (NY greater area).
southwest-airlines,Cancelled Flight,Horrible experience we sat in the plane for an hour only to realize that the flight was cancelled because a small plastic emergency sign would not illuminate!
southwest-airlines,Cancelled Flight,On the return leg they scheduled a Boeing 737-900 (bright and with lots of overhead cabin space) to accommodate the additional load due to storm cancellation the day before.
southwest-airlines,General,Their plane made it to the runway and now is receiving maintenance while passengers remain on the plane with no a/c.
southwest-airlines,General,Flight from Seattle to San Jose - flight 923 - landed on time, but the connecting flight to Ontario - flight 4032 - scheduled to leave at 8.30pm was going to be delayed to an unknown time, as the lady behind the counter was telling us that the plane encountered mechanical problems but would post the exact departure time as soon as the plane was airborne.
southwest-airlines,General,My parents are flying home on Southwest as we speak and are delayed 3 hours.
southwest-airlines,General,I flew Southwest 5 times in the month of July and was delayed at least 2 hours for every flight.
southwest-airlines,General,Flight Delay in MBJ - 3pm flight left MBJ AT 9:30pm told that the plane was originally diverted due to Southwest forgetting to renew its license to fly over Cuba.
southwest-airlines,General,The next morning I went on Southwest.com and went to see if my points had posted I found out they didn't so I called Southwest and they told me that I didn't receive my points because I missed my original flight.
southwest-airlines,General,This was my very first flight on Southwest and hopefully my last as they kept on delaying the flight to avoid paying for hotel rooms for passengers who were late coming from a connecting flight.
southwest-airlines,General,My parents are flying home on Southwest as we speak and are delayed 3 hours.
southwest-airlines,General,Their plane made it to the runway and now is receiving maintenance while passengers remain on the plane with no a/c.
southwest-airlines,General,Their plane made it to the runway and now is receiving maintenance while passengers remain on the plane with no a/c.
southwest-airlines,Lost Luggage,However, the reason behind my lost luggage was outrageous.
southwest-airlines,Lost Luggage,The new policy of SWA does not provide lost baggage delivery over a distance of 50 miles.
us-airways,Booking Problems,The fight was oversold, both the departure and arrival gates were double booked, and baggage did not show for 45 minutes.
us-airways,Booking Problems,I was rebooked on US Airways after a United flight was delayed.
us-airways,Booking Problems,$25 for each checked bag is definitely a negative in my book.
us-airways,Booking Problems,We spent more or less an hour in the line for all passengers have to rebook their flight.
us-airways,Booking Problems,Delays, cancellations, overbooking etc have made it so there's always some issue when I fly with them.
us-airways,Booking Problems,Delays were admittedly due to weather in CLT and air traffic control response, but given that trip was booked all legs through AA/US Airways, would have thought airline could hold last flight for connecting passengers known to be waiting on tarmac for gate to make connections.
us-airways,Booking Problems,Rebooked for same flight - 24 hours later.
us-airways,Booking Problems,When booking flights it asks if you are travelling with children which I was yet not one of the three adults that were travelling were able to sit with the child.
us-airways,Booking Problems,We asked to be put on the next available flight and got no response was booked onto 10am flight the next morning.
us-airways,Booking Problems,Price was the main reason I had booked this trip with US and based on the majority of the reviews I was not looking forward to the experience.
us-airways,Food,Here's what went wrong: They didn't provide me with a gluten-free meal for all 15+ hours of travel and did not apologize or make any effort to find me something from the reserves I had confirmed online and at both airports that I'd have something to eat and they confirmed both times.
us-airways,Food,No vouchers, no food coupons, no apologies.
us-airways,Food,My flight was after 8/00pm and when asked why the food items listed on the inflight menu were not available, I was rudely told that the timings are mentioned in the menu.
us-airways,Food,Cabin Crew were nice and attentive drinks and snacks were average though their marketplace meals are not as quality.
us-airways,Food,New commuter terminal at PHL is pretty good also with a new Admirals Club and large food court.
