,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
4880,569669872050765824,neutral,1.0,general,0.0,Southwest,,Chartchai1983,,0,@SouthwestAir gimme,,2015-02-22 17:27:36 -0800,seattle,Pacific Time (US & Canada)
4881,569669629951549440,neutral,0.6364,general,0.0,Southwest,,bdominguez7,,0,@SouthwestAir flights still going to DAL?,,2015-02-22 17:26:38 -0800,"Belton, Tx",Central Time (US & Canada)
4882,569668913916567552,negative,1.0,Can't Tell,-0.17232142857142857,Southwest,,RameyZafar,,0,@SouthwestAir You've inspired me to start my own airline to combat your weak ass airline. sick of this shit,,2015-02-22 17:23:47 -0800,,Pacific Time (US & Canada)
4883,569668883147137024,neutral,0.7008,general,0.0,Southwest,,lot223,,0,@SouthwestAir is service to Aruba being permanently discontinued in August?,,2015-02-22 17:23:40 -0800,,Central Time (US & Canada)
4884,569668853849919488,positive,0.6349,general,0.0,Southwest,,hirammrom,,0,@SouthwestAir yes please!,,2015-02-22 17:23:33 -0800,,Central Time (US & Canada)
4885,569668792265019392,positive,1.0,general,-0.23749999999999996,Southwest,,sheiladunagan,,0,@SouthwestAir I miss mine terribly. A +1 for my 30th anniversary would be amazing. It would mean LUV is in the air. #dontmakemebeg,,2015-02-22 17:23:18 -0800,Austin ,Central Time (US & Canada)
4886,569668677731274752,positive,0.6559,general,0.55,Southwest,,MrDockery_,,0,@SouthwestAir I (heart) my CP status. Sure would be nice to have though.,,2015-02-22 17:22:51 -0800,,Central Time (US & Canada)
4887,569668606142783488,positive,0.667,general,1.0,Southwest,,csusanto,,0,@SouthwestAir #RedCarpet Southwest Companion Pass would be great!,,2015-02-22 17:22:34 -0800,SF Bay Area,Pacific Time (US & Canada)
4888,569668198389436416,neutral,1.0,general,0.65,Southwest,,_AmandaBrittney,,0,@SouthwestAir I would love a great deal from bwi to las Memorial Day weekend aka my bday weekend 😬,,2015-02-22 17:20:57 -0800,Virginia.,Central Time (US & Canada)
4889,569668015047839744,positive,0.6779999999999999,general,0.0,Southwest,,nblaschke,,0,@SouthwestAir I want one!,,2015-02-22 17:20:13 -0800,"Woodsboro, TX",Central Time (US & Canada)
4890,569667923326971904,negative,0.6629999999999999,Cancelled Flight,0.0,Southwest,,JCRU28,,0,@SouthwestAir everyones flights who were Cancelled Flightled today DESERVE 1,,2015-02-22 17:19:51 -0800,USA,Eastern Time (US & Canada)
4891,569667805643034624,positive,0.6459999999999999,general,0.0,Southwest,,jpiercyttu,,0,“@SouthwestAir: Companion Pass. Because everyone deserves #RedCarpet treatment and a +1 (even if it's your mom). http://t.co/QjKL4aBprG”,"[33.51750182, -101.90914558]",2015-02-22 17:19:23 -0800,,
4892,569667787829809152,positive,0.6709,general,0.0,Southwest,,mmuller1,,0,@SouthwestAir sign me up!,,2015-02-22 17:19:19 -0800,,
4893,569667638651170816,neutral,1.0,general,0.5,Southwest,,OneToughShark,,0,@SouthwestAir I would love a +1 #RedCarpet  treatment,,2015-02-22 17:18:43 -0800,,
4894,569667602148151296,neutral,1.0,general,0.0,Southwest,,UnstoppableMika,,0,@SouthwestAir how do I get my companion pass?,,2015-02-22 17:18:34 -0800,Pennsylvania,Atlantic Time (Canada)
4895,569667401769459712,neutral,1.0,general,0.16,Southwest,,lauraannB85,,0,@SouthwestAir Tell me the secrets to flying high #RedCarpet,,2015-02-22 17:17:47 -0800,North Carolina,Eastern Time (US & Canada)
4896,569667324879511552,positive,0.6596,general,0.0,Southwest,,CommDocPA,,0,@SouthwestAir That would be brighter than all the stars combined on the red carpet tonight!,,2015-02-22 17:17:28 -0800,,Eastern Time (US & Canada)
4897,569667313609404416,negative,0.6659999999999999,Can't Tell,0.0,Southwest,,MrDockery_,,0,@SouthwestAir How about auto check in for CP holders? Come on.,,2015-02-22 17:17:26 -0800,,Central Time (US & Canada)
4898,569667246026416130,positive,1.0,general,0.0,Southwest,,dgackey,,0,@SouthwestAir got mine!  Just in time for the wife and my 15th anniversary!,,2015-02-22 17:17:10 -0800,"Austin, TX",Central Time (US & Canada)
4899,569667238808068098,positive,1.0,general,0.5,Southwest,,MarkMais,,0,@SouthwestAir I love my Companion Pass (qualified 4th year).  #HollyMais,,2015-02-22 17:17:08 -0800,"Denver, Colorado",Mountain Time (US & Canada)
