american-airlines, Cancelled Flight, flight man jfk cancelled due engine issues resulted us rebook ended flying via lhr. rebooked flight british airways much better offered individual inflight entertainment systems unlike american still old system overhead tvs. flight back jfk delayed eventually got board aeroplane quite possibly oldest plane cabin crew match. 10 minutes pilot informed us member american airlines staff attempted open cabin door already locked resulted life raft falling off plane! disembark hours wait told flight cancelled need rebook. put flight next day via dublin resulted us 24 hours late home. appalling service will never travel .
american-airlines, Booking Problems, flight man jfk cancelled due engine issues resulted us rebook ended flying via lhr. rebooked flight british airways much better offered individual inflight entertainment systems unlike american still old system overhead tvs. flight back jfk delayed eventually got board aeroplane quite possibly oldest plane cabin crew match. 10 minutes pilot informed us member american airlines staff attempted open cabin door already locked resulted life raft falling off plane! disembark hours wait told flight cancelled need rebook. put flight next day via dublin resulted us 24 hours late home. appalling service will never travel .
american-airlines, Cancelled Flight, flight man jfk cancelled due engine issues resulted us rebook ended flying via lhr. rebooked flight british airways much better offered individual inflight entertainment systems unlike american still old system overhead tvs. flight back jfk delayed eventually got board aeroplane quite possibly oldest plane cabin crew match. 10 minutes pilot informed us member american airlines staff attempted open cabin door already locked resulted life raft falling off plane! disembark hours wait told flight cancelled need rebook. put flight next day via dublin resulted us 24 hours late home. appalling service will never travel .
american-airlines, Flight Attendant, flight man jfk cancelled due engine issues resulted us rebook ended flying via lhr. rebooked flight british airways much better offered individual inflight entertainment systems unlike american still old system overhead tvs. flight back jfk delayed eventually got board aeroplane quite possibly oldest plane cabin crew match. 10 minutes pilot informed us member american airlines staff attempted open cabin door already locked resulted life raft falling off plane! disembark hours wait told flight cancelled need rebook. put flight next day via dublin resulted us 24 hours late home. appalling service will never travel .
american-airlines, Lost Luggage, flew boston ma st. thomas u.s.v.. july 14th 2015. flight #1619 boston miami first leg trip went smoothly. got onto flight #2421 miami st. thomas. delayed half hour. landed st. thomas still able make ferry tortola. however took 1 hour 45 minutes luggage deplaned. time three planes landed luggage sorted passengers planes left terminal. found one pieces luggage still miami. flight came 3.30pm originally supposed land 2.57pm. well know ferries stop running charlotte amalie 4.30pm. american done everything power get people way. least one third passengers situation us. four others lost baggage. son spent next morning trying reconnect luggage told make trip ferry terminal pick . now flight home july 25th 2015 arrive airport three hours flight. six us flying st. thomas philadelphia pa flight 837 leaving 3.05pm. arrived airport 11.45am. went kiosk got plane tickets joined extremely long line (1.5 hours) ticket counter just get luggage tags.
american-airlines, Long Line, flew boston ma st. thomas u.s.v.. july 14th 2015. flight #1619 boston miami first leg trip went smoothly. got onto flight #2421 miami st. thomas. delayed half hour. landed st. thomas still able make ferry tortola. however took 1 hour 45 minutes luggage deplaned. time three planes landed luggage sorted passengers planes left terminal. found one pieces luggage still miami. flight came 3.30pm originally supposed land 2.57pm. well know ferries stop running charlotte amalie 4.30pm. american done everything power get people way. least one third passengers situation us. four others lost baggage. son spent next morning trying reconnect luggage told make trip ferry terminal pick . now flight home july 25th 2015 arrive airport three hours flight. six us flying st. thomas philadelphia pa flight 837 leaving 3.05pm. arrived airport 11.45am. went kiosk got plane tickets joined extremely long line (1.5 hours) ticket counter just get luggage tags.
american-airlines, longlines, long detour get gru lax gave chance experience j flagship product international (b777-300) domestic (a321) products. individual reverse herringbone seats 777 second none. privacy sleeping space guaranteed. entertainment good enough flight crew professional even friendly extent. one downside food not one expect j not tasty either. transcon similar experience. full lie flat j nice touch even getting passenger not problem . major difference crew bit standoffish.
american-airlines, Food, long detour get gru lax gave chance experience j flagship product international (b777-300) domestic (a321) products. individual reverse herringbone seats 777 second none. privacy sleeping space guaranteed. entertainment good enough flight crew professional even friendly extent. one downside food not one expect j not tasty either. transcon similar experience. full lie flat j nice touch even getting passenger not problem . major difference crew bit standoffish.
american-airlines, general, well warned cross atlantic american airlines likely put small 3x3 plane absolutely no entertainment system. charged $85 pounds luggage overweight practically airline crossing atlantic let pass .
american-airlines, Damaged Luggage, business class excellent plenty food choices generous servings good food quality. avoid bulkhead seats business class seats last row business class. variety inflight movies excellent sound quality.
american-airlines, Food, business class excellent plenty food choices generous servings good food quality. avoid bulkhead seats business class seats last row business class. variety inflight movies excellent sound quality.
american-airlines, Cancelled Flight, old boeing 777 retrofitted. removed first class business class seats upgraded fully flat seats two sections aircraft nice bar . cabin crew nicer even managed smile (not seen long time). food offered better also:  ie. breakfast plate fresh fruit granola greek yogurt warm scone jam butter. 
american-airlines, Food, old boeing 777 retrofitted. removed first class business class seats upgraded fully flat seats two sections aircraft nice bar . cabin crew nicer even managed smile (not seen long time). food offered better also:  ie. breakfast plate fresh fruit granola greek yogurt warm scone jam butter. 
american-airlines, Bad Flight, flight scheduled leave 7.45 newark delayed twice finally boarded close 9pm. staff not give reason flight delayed told flights newark booked . 
american-airlines, Booking Problems, flight scheduled leave 7.45 newark delayed twice finally boarded close 9pm. staff not give reason flight delayed told flights newark booked . 
american-airlines, Flight Attendant Complaints, delay caused weather missed connecting flight. however thats' not issue. arrived chicago late missed connection greenbay. put standby flight told unlikely get . sunday evening. pressed information next flight told might 8.30pm tuesday not problem. pardon not problem! family three middle chicago stranded 3 days. no help . no useful information might go transport might able get. stranded not give assistance . crisis us. 
american-airlines, Flight Booking Problems, cannot think one good reason fly american airlines future. cannot think one reason keep credit card allows redemption american well. customer service becoming almost fight not willing negotiate explain accommodate customers anymore. paid 178.00 cash buy three thousand aadvantage miles $200 ticket due fees even rewarded 5000 miles purchase. every single customer service rep spoke told read fine print online add fees prior booking. not cancel even within first 5 minutes. aggressive used tactics trying make feel inadequate booking purchase. yikes. no reason fly prices not competitive rewards program not user friendly offers half many perks airlines. 
american-airlines, Booking Problems, cannot think one good reason fly american airlines future. cannot think one reason keep credit card allows redemption american well. customer service becoming almost fight not willing negotiate explain accommodate customers anymore. paid 178.00 cash buy three thousand aadvantage miles $200 ticket due fees even rewarded 5000 miles purchase. every single customer service rep spoke told read fine print online add fees prior booking. not cancel even within first 5 minutes. aggressive used tactics trying make feel inadequate booking purchase. yikes. no reason fly prices not competitive rewards program not user friendly offers half many perks airlines. 
american-airlines, Bad Flight, gave aa one star rating choose something. otherwise given negative. worst flying experience children's first flying experience. supposed fly sunday morning 7.45 due mechanical issue flight delayed (first) ended getting cancelled. next flight full take next available flight 4.45. spent day airport waiting start orlando vacation. thinking worst part trip - wasn't. way home - flight delayed yet . flew 2 hours original flight scheduled caused us miss connecting flight chicago. no later flights stay overnight. asked room along many passengers given discounted rate hotel 15 miles airport. discounted rate $75 didn't offer pay cab (shuttle wasn't running late). rather taking room slept airport. definitely not wish children's first flying experience.
american-airlines, Cancelled Flight, gave aa one star rating choose something. otherwise given negative. worst flying experience children's first flying experience. supposed fly sunday morning 7.45 due mechanical issue flight delayed (first) ended getting cancelled. next flight full take next available flight 4.45. spent day airport waiting start orlando vacation. thinking worst part trip - wasn't. way home - flight delayed yet . flew 2 hours original flight scheduled caused us miss connecting flight chicago. no later flights stay overnight. asked room along many passengers given discounted rate hotel 15 miles airport. discounted rate $75 didn't offer pay cab (shuttle wasn't running late). rather taking room slept airport. definitely not wish children's first flying experience.
american-airlines, Customer Service Issue, aircraft old dirty. cabin crew not engage passengers (seemed interested chatting layover london). aircraft freezing cold refused notice passengers wrapped hoodies blankets even though passengers complained. tickets expensive additional charges applied second suitcase want choose seat $9 alcoholic spirit! food nothing short disgusting. many passenger bought packed lunches. ife like something 70's. overhead monitors no choice movie. tiny -ear headsets begrudgingly handed passengers unfortunate enough not brought . american airlines complaining unfair completion middle east airlines. given choice fly emirates qatar every time!
american-airlines, Food, aircraft old dirty. cabin crew not engage passengers (seemed interested chatting layover london). aircraft freezing cold refused notice passengers wrapped hoodies blankets even though passengers complained. tickets expensive additional charges applied second suitcase want choose seat $9 alcoholic spirit! food nothing short disgusting. many passenger bought packed lunches. ife like something 70's. overhead monitors no choice movie. tiny -ear headsets begrudgingly handed passengers unfortunate enough not brought . american airlines complaining unfair completion middle east airlines. given choice fly emirates qatar every time!
american-airlines, Flight Attendant, aircraft old dirty. cabin crew not engage passengers (seemed interested chatting layover london). aircraft freezing cold refused notice passengers wrapped hoodies blankets even though passengers complained. tickets expensive additional charges applied second suitcase want choose seat $9 alcoholic spirit! food nothing short disgusting. many passenger bought packed lunches. ife like something 70's. overhead monitors no choice movie. tiny -ear headsets begrudgingly handed passengers unfortunate enough not brought . american airlines complaining unfair completion middle east airlines. given choice fly emirates qatar every time!
american-airlines, Lost Luggage, took 37 hours get destination. suppose take 18 . confirmed booked tickets wife two transfers. one dallas one london. end 3. plane heathrow late missed transfer got off plane heathrow american employee gave us new transfer tickets told us hurry next gate catch . ran next gate took 30 minutes (heathrow). got wife looked tickets layover 4 hours. employee us run? flight florence not pisa probably didn't want us notice. went back security (1.5 hours heathrow) got new tickets american british airways pisa. hour wait another run security (1.5 hours) back proper gate. didn't american put us flight first place? work british airways get customers pisa! since got back contacted american issue sent us voucher $200 luggage mess way home. didn't anything sending us wrong city.
